mes,ipca_variacao,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_doze_meses,ipa_variacao,selic_ano,juros_reais
02,0.86,5.2,0.48,4.57,3.4,1.9,-3.14
03,0.93,6.1,0.93,5.52,2.59,2.23,-3.65
04,0.31,6.76,0.6,6.17,2.9,2.65,-3.85
05,0.83,8.06,0.44,7.27,4.2,3.29,-4.41
06,0.53,8.35,0.83,8.13,-0.26,3.76,-4.24
07,0.96,8.99,0.72,8.59,1.65,4.15,-4.44
08,0.87,9.68,0.89,9.3,-0.42,5.01,-4.26
09,1.16,10.25,1.14,10.05,-1.17,5.43,-4.37
10,1.25,10.67,1.2,10.34,1.9,6.3,-3.95
11,0.95,10.74,1.17,10.73,-1.16,7.65,-2.79
12,0.73,10.06,0.78,10.42,1.54,8.76,-1.18
01,0.54,10.38,0.58,10.2,2.57,9.15,-1.11
02,1.01,10.54,0.99,10.76,1.94,10.49,-0.05
03,1.62,11.3,0.95,10.79,2.8,11.15,-0.13
04,1.06,12.13,1.73,12.03,0.19,11.65,-0.43
05,0.47,11.73,0.59,12.2,0.55,12.51,0.7
06,0.67,11.89,0.69,12.04,0.44,12.89,0.89
07,-0.68,10.07,0.13,11.39,-0.32,13.15,2.8
08,-0.36,8.73,-0.73,9.6,-0.63,13.58,4.46
09,-0.29,7.17,-0.37,7.96,-1.68,13.65,6.05
10,0.59,6.47,0.16,6.85,-1.04,13.65,6.74
11,0.41,5.9,0.53,6.17,-0.43,13.65,7.32
12,0.62,5.79,0.52,5.9,0.32,13.65,7.43
01,0.53,5.77,0.55,5.87,-0.19,13.65,7.45
02,0.84,5.6,0.76,5.63,-0.04,13.65,7.62
03,0.71,4.65,0.69,5.36,-0.71,13.65,8.6
04,0.61,4.18,0.57,4.16,-1.56,13.65,9.09
05,0.23,3.94,0.51,4.07,-3.37,13.65,9.34
